LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,622.97882,1.78E-02,,365.3038241,0.00E+00,,365.3038241,0.00E+00,,622.13104,2.61E-04,,365.3038241,0.00E+00,,624.92302,2.13E-04,,622.97882,2.00E-02,,365.30382,0.00E+00,,853.88,2.28E-03,,990.89,4.43E-01,,702.554,4.87E-03,,1107.36670,1.19E-02,,1393.0,2.90E-02,,,,,1040.14,0.00E+00,,1040.13,3.43E-03
,623.1388,2.60E-02,,365.5189357,0.00E+00,,365.5189357,0.00E+00,,622.29141,1.74E-04,,365.5189357,0.00E+00,,625.08271,2.54E-04,,623.1388,1.89E-02,,365.51894,0.00E+00,,853.96,1.90E-03,,991.14,4.46E-01,,702.705,3.92E-03,,1107.51697,1.17E-02,,1394.0,3.14E-02,,,,,1040.19,0.00E+00,,1040.18,3.43E-03
,623.29879,1.66E-02,,365.734063,0.00E+00,,365.734063,0.00E+00,,622.45179,2.61E-04,,365.734063,0.00E+00,,625.24241,1.85E-04,,623.29879,1.93E-02,,365.73406,0.00E+00,,854.03,1.30E-03,,991.38,4.51E-01,,702.857,2.71E-03,,1107.66711,1.15E-02,,1395.0,3.11E-02,,,,,1040.24,0.00E+00,,1040.24,3.44E-03
,623.45879,2.81E-02,,365.9492059,0.00E+00,,365.9492059,0.00E+00,,622.61217,0.00E+00,,365.9492059,0.00E+00,,625.40212,2.76E-04,,623.45879,1.88E-02,,365.94921,0.00E+00,,854.10,1.69E-03,,991.62,4.53E-01,,703.008,2.74E-03,,1107.81751,1.12E-02,,1396.0,3.01E-02,,,,,1040.30,0.00E+00,,1040.29,3.47E-03
,623.61879,1.97E-02,,366.1643644,0.00E+00,,366.1643644,0.00E+00,,622.77256,2.61E-04,,366.1643644,0.00E+00,,625.56184,1.66E-04,,623.61879,2.00E-02,,366.16436,0.00E+00,,854.17,1.99E-03,,991.87,4.54E-01,,703.159,2.85E-03,,1107.96777,1.09E-02,,1397.0,2.16E-02,,,,,1040.35,0.00E+00,,1040.34,3.49E-03
,623.7788,2.74E-02,,366.3795385,0.00E+00,,366.3795385,0.00E+00,,622.93296,1.74E-04,,366.3795385,0.00E+00,,625.72156,3.21E-04,,623.7788,1.99E-02,,366.37954,0.00E+00,,854.25,2.38E-03,,992.11,4.59E-01,,703.311,3.41E-03,,1108.11816,1.05E-02,,1398.0,2.46E-02,,,,,1040.40,0.00E+00,,1040.39,3.52E-03
,623.93881,2.24E-02,,366.5947283,0.00E+00,,366.5947283,0.00E+00,,623.09336,0.00E+00,,366.5947283,0.00E+00,,625.8813,1.62E-04,,623.93881,2.05E-02,,366.59473,0.00E+00,,854.32,1.71E-03,,992.36,4.61E-01,,703.462,3.38E-03,,1108.26856,1.02E-02,,1399.0,2.82E-02,,,,,1040.45,0.00E+00,,1040.45,3.54E-03
,624.09884,3.32E-02,,366.8099336,0.00E+00,,366.8099336,0.00E+00,,623.25377,0.00E+00,,366.8099336,0.00E+00,,626.04104,3.32E-04,,624.09884,1.90E-02,,366.80993,0.00E+00,,854.39,1.07E-03,,992.60,4.65E-01,,703.614,2.46E-03,,1108.41895,9.90E-03,,1400.0,2.35E-02,,,,,1040.51,0.00E+00,,1040.50,3.56E-03
,624.25887,2.37E-02,,367.0251546,0.00E+00,,367.0251546,0.00E+00,,623.41419,2.61E-04,,367.0251546,0.00E+00,,626.20079,1.90E-04,,624.25887,2.03E-02,,367.02515,0.00E+00,,854.46,1.32E-03,,992.84,4.67E-01,,703.765,3.70E-03,,1108.56946,9.65E-03,,1401.0,2.18E-02,,,,,1040.56,0.00E+00,,1040.55,3.56E-03
,624.41891,2.87E-02,,367.2403912,0.00E+00,,367.2403912,0.00E+00,,623.57461,6.96E-04,,367.2403912,0.00E+00,,626.36055,3.10E-04,,624.41891,2.00E-02,,367.24039,0.00E+00,,854.54,2.07E-03,,993.09,4.69E-01,,703.917,3.39E-03,,1108.71997,9.45E-03,,1402.0,1.99E-02,,,,,1040.61,0.00E+00,,1040.61,3.56E-03
,624.57895,1.99E-02,,367.4556434,0.00E+00,,367.4556434,0.00E+00,,623.73504,2.61E-04,,367.4556434,0.00E+00,,626.52032,1.62E-04,,624.57895,2.12E-02,,367.45564,0.00E+00,,854.61,1.95E-03,,993.33,4.72E-01,,704.069,4.05E-03,,1108.87061,9.28E-03,,1403.0,2.31E-02,,,,,1040.67,0.00E+00,,1040.66,3.55E-03
,624.739,2.74E-02,,367.6709112,0.00E+00,,367.6709112,0.00E+00,,623.89547,0.00E+00,,367.6709112,0.00E+00,,626.68009,3.53E-04,,624.739,1.90E-02,,367.67091,0.00E+00,,854.68,1.57E-03,,993.57,4.76E-01,,704.221,2.88E-03,,1109.02124,9.13E-03,,1404.0,2.27E-02,,,,,1040.72,0.00E+00,,1040.71,3.54E-03
,624.89906,2.01E-02,,367.8861946,0.00E+00,,367.8861946,0.00E+00,,624.05591,0.00E+00,,367.8861946,0.00E+00,,626.83988,1.92E-04,,624.89906,1.97E-02,,367.88619,0.00E+00,,854.76,1.72E-03,,993.82,4.77E-01,,704.372,4.67E-03,,1109.17188,9.00E-03,,1405.0,2.03E-02,,,,,1040.77,0.00E+00,,1040.77,3.53E-03
,625.05913,1.69E-02,,368.1014936,0.00E+00,,368.1014936,0.00E+00,,624.21636,1.74E-04,,368.1014936,0.00E+00,,626.99967,3.65E-04,,625.05913,1.87E-02,,368.10149,0.00E+00,,854.83,1.47E-03,,994.06,4.79E-01,,704.524,3.96E-03,,1109.32251,8.88E-03,,1406.0,1.78E-02,,,,,1040.83,0.00E+00,,1040.82,3.51E-03
,625.2192,2.06E-02,,368.3168081,0.00E+00,,368.3168081,0.00E+00,,624.37681,7.83E-04,,368.3168081,0.00E+00,,627.15947,2.06E-04,,625.2192,2.10E-02,,368.31681,0.00E+00,,854.90,1.62E-03,,994.30,4.83E-01,,704.676,1.83E-03,,1109.47327,8.77E-03,,1407.0,2.18E-02,,,,,1040.88,0.00E+00,,1040.87,3.48E-03
,625.37928,3.07E-02,,368.5321383,0.00E+00,,368.5321383,0.00E+00,,624.53727,1.74E-04,,368.5321383,0.00E+00,,627.31928,3.15E-04,,625.37928,2.00E-02,,368.53214,0.00E+00,,854.97,2.02E-03,,994.55,4.86E-01,,704.828,2.62E-03,,1109.62402,8.66E-03,,1408.0,2.20E-02,,,,,1040.93,0.00E+00,,1040.93,3.46E-03
,625.53937,2.14E-02,,368.747484,0.00E+00,,368.747484,0.00E+00,,624.69774,7.83E-04,,368.747484,0.00E+00,,627.4791,2.01E-04,,625.53937,2.04E-02,,368.74748,0.00E+00,,855.05,1.89E-03,,994.79,4.87E-01,,704.981,3.26E-03,,1109.77490,8.57E-03,,1409.0,2.32E-02,,,,,1040.98,0.00E+00,,1040.98,3.45E-03
,625.69946,2.81E-02,,368.9628453,0.00E+00,,368.9628453,0.00E+00,,624.85821,6.96E-04,,368.9628453,0.00E+00,,627.63892,2.92E-04,,625.69946,1.88E-02,,368.96285,0.00E+00,,855.12,1.62E-03,,995.03,4.92E-01,,705.133,2.82E-03,,1109.92578,8.49E-03,,1410.0,1.80E-02,,,,,1041.04,0.00E+00,,1041.03,3.44E-03
,625.85956,1.97E-02,,369.1782222,0.00E+00,,369.1782222,0.00E+00,,625.01868,7.83E-04,,369.1782222,0.00E+00,,627.79876,1.96E-04,,625.85956,1.96E-02,,369.17822,0.00E+00,,855.19,2.25E-03,,995.28,4.95E-01,,705.285,5.07E-03,,1110.07666,8.44E-03,,1411.0,1.82E-02,,,,,1041.09,0.00E+00,,1041.08,3.44E-03
,626.01967,3.05E-02,,369.3936146,0.00E+00,,369.3936146,0.00E+00,,625.17917,0.00E+00,,369.3936146,0.00E+00,,627.9586,3.62E-04,,626.01967,1.89E-02,,369.39361,0.00E+00,,855.26,2.21E-03,,995.52,4.99E-01,,705.437,4.51E-03,,1110.22754,8.43E-03,,1412.0,1.86E-02,,,,,1041.14,0.00E+00,,1041.14,3.45E-03
,626.17978,1.90E-02,,369.6090226,0.00E+00,,369.6090226,0.00E+00,,625.33966,2.61E-04,,369.6090226,0.00E+00,,628.11845,1.67E-04,,626.17978,1.96E-02,,369.60902,0.00E+00,,855.34,2.18E-03,,995.77,5.02E-01,,705.590,3.55E-03,,1110.37854,8.47E-03,,1413.0,1.99E-02,,,,,1041.20,0.00E+00,,1041.19,3.49E-03
,626.3399,2.55E-02,,369.8244461,0.00E+00,,369.8244461,0.00E+00,,625.50015,1.74E-04,,369.8244461,0.00E+00,,628.27831,3.73E-04,,626.3399,1.87E-02,,369.82445,0.00E+00,,855.41,1.73E-03,,996.01,5.06E-01,,705.742,2.98E-03,,1110.52954,8.54E-03,,1414.0,1.27E-02,,,,,1041.25,0.00E+00,,1041.24,3.54E-03
,626.50003,1.94E-02,,370.0398852,0.00E+00,,370.0398852,0.00E+00,,625.66065,7.83E-04,,370.0398852,0.00E+00,,628.43818,1.63E-04,,626.50003,2.05E-02,,370.03989,0.00E+00,,855.48,1.71E-03,,996.25,5.11E-01,,705.895,5.06E-03,,1110.68066,8.65E-03,,1415.0,1.89E-02,,,,,1041.30,0.00E+00,,1041.30,3.61E-03
,626.66017,2.75E-02,,370.2553399,0.00E+00,,370.2553399,0.00E+00,,625.82116,1.74E-04,,370.2553399,0.00E+00,,628.59806,3.08E-04,,626.66017,1.98E-02,,370.25534,0.00E+00,,855.56,1.49E-03,,996.50,5.15E-01,,706.047,2.98E-03,,1110.83179,8.78E-03,,1416.0,1.84E-02,,,,,1041.36,0.00E+00,,1041.35,3.69E-03
,626.82031,1.93E-02,,370.4708101,0.00E+00,,370.4708101,0.00E+00,,625.98168,2.61E-04,,370.4708101,0.00E+00,,628.75794,2.39E-04,,626.82031,2.05E-02,,370.47081,0.00E+00,,855.63,1.57E-03,,996.74,5.20E-01,,706.200,4.87E-03,,1110.98291,8.90E-03,,1417.0,1.73E-02,,,,,1041.41,0.00E+00,,1041.40,3.78E-03
,626.98046,3.14E-02,,370.6862959,0.00E+00,,370.6862959,0.00E+00,,626.1422,0.00E+00,,370.6862959,0.00E+00,,628.91783,2.65E-04,,626.98046,1.90E-02,,370.6863,0.00E+00,,855.70,1.74E-03,,996.98,5.25E-01,,706.353,3.27E-03,,1111.13416,9.01E-03,,1418.0,1.46E-02,,,,,1041.46,0.00E+00,,1041.46,3.87E-03
,627.14061,2.21E-02,,370.9017972,0.00E+00,,370.9017972,0.00E+00,,626.30272,2.61E-04,,370.9017972,0.00E+00,,629.07773,2.96E-04,,627.14061,2.02E-02,,370.9018,0.00E+00,,855.77,2.03E-03,,997.23,5.28E-01,,706.506,3.26E-03,,1111.28528,9.08E-03,,1419.0,1.51E-02,,,,,1041.52,0.00E+00,,1041.51,3.95E-03
,627.30078,3.44E-02,,371.117314,0.00E+00,,371.117314,0.00E+00,,626.46325,0.00E+00,,371.117314,0.00E+00,,629.23764,2.57E-04,,627.30078,1.89E-02,,371.11731,0.00E+00,,855.85,2.00E-03,,997.47,5.33E-01,,706.659,2.58E-03,,1111.43665,9.14E-03,,1420.0,1.44E-02,,,,,1041.57,0.00E+00,,1041.56,4.02E-03
,627.46095,1.13E-02,,371.3328463,0.00E+00,,371.3328463,0.00E+00,,626.62379,1.30E-03,,371.3328463,0.00E+00,,629.39756,2.51E-04,,627.46095,1.98E-02,,371.33285,0.00E+00,,855.92,2.10E-03,,997.71,5.36E-01,,706.811,4.79E-03,,1111.58789,9.18E-03,,1421.0,1.18E-02,,,,,1041.62,0.00E+00,,1041.62,4.06E-03
,627.62112,2.10E-02,,371.5483942,0.00E+00,,371.5483942,0.00E+00,,626.78434,0.00E+00,,371.5483942,0.00E+00,,629.55749,3.01E-04,,627.62112,1.86E-02,,371.54839,0.00E+00,,855.99,2.30E-03,,997.96,5.42E-01,,706.964,2.78E-03,,1111.73926,9.23E-03,,1422.0,1.03E-02,,,,,1041.68,0.00E+00,,1041.67,4.08E-03
,627.78131,1.64E-02,,371.7639576,0.00E+00,,371.7639576,0.00E+00,,626.94489,0.00E+00,,371.7639576,0.00E+00,,629.71742,1.85E-04,,627.78131,1.99E-02,,371.76396,0.00E+00,,856.07,1.83E-03,,998.20,5.48E-01,,707.117,4.41E-03,,1111.89063,9.29E-03,,1423.0,1.35E-02,,,,,1041.73,0.00E+00,,1041.72,4.06E-03
,627.9415,3.04E-02,,371.9795365,0.00E+00,,371.9795365,0.00E+00,,627.10545,0.00E+00,,371.9795365,0.00E+00,,629.87737,3.27E-04,,627.9415,1.86E-02,,371.97954,0.00E+00,,856.14,1.63E-03,,998.45,5.53E-01,,707.271,4.01E-03,,1112.04211,9.36E-03,,1424.0,7.92E-03,,,,,1041.78,0.00E+00,,1041.78,4.02E-03
,628.1017,1.39E-02,,372.195131,0.00E+00,,372.195131,0.00E+00,,627.26601,7.83E-04,,372.195131,0.00E+00,,630.03732,1.65E-04,,628.1017,2.02E-02,,372.19513,0.00E+00,,856.21,1.74E-03,,998.69,5.56E-01,,707.424,4.72E-03,,1112.19360,9.43E-03,,1425.0,1.07E-02,,,,,1041.83,0.00E+00,,1041.83,3.94E-03
,628.2619,2.39E-02,,372.4107409,0.00E+00,,372.4107409,0.00E+00,,627.42658,0.00E+00,,372.4107409,0.00E+00,,630.19728,4.17E-04,,628.2619,2.00E-02,,372.41074,0.00E+00,,856.28,1.67E-03,,998.93,5.63E-01,,707.577,2.63E-03,,1112.34509,9.48E-03,,1426.0,1.16E-02,,,,,1041.89,0.00E+00,,1041.88,3.86E-03
,628.42211,2.55E-02,,372.6263664,0.00E+00,,372.6263664,0.00E+00,,627.58715,1.30E-03,,372.6263664,0.00E+00,,630.35725,1.84E-04,,628.42211,2.07E-02,,372.62637,0.00E+00,,856.36,2.13E-03,,999.18,5.72E-01,,707.730,3.06E-03,,1112.49658,9.49E-03,,1427.0,1.08E-02,,,,,1041.94,0.00E+00,,1041.93,3.76E-03
,628.58233,2.09E-02,,372.8420073,0.00E+00,,372.8420073,0.00E+00,,627.74773,1.74E-04,,372.8420073,0.00E+00,,630.51722,2.86E-04,,628.58233,1.91E-02,,372.84201,0.00E+00,,856.43,1.48E-03,,999.42,5.76E-01,,707.884,1.51E-03,,1112.64819,9.45E-03,,1428.0,1.35E-02,,,,,1041.99,0.00E+00,,1041.99,3.66E-03
,628.74256,1.85E-02,,373.0576638,0.00E+00,,373.0576638,0.00E+00,,627.90832,2.61E-04,,373.0576638,0.00E+00,,630.67721,2.33E-04,,628.74256,1.91E-02,,373.05766,0.00E+00,,856.50,1.53E-03,,999.66,5.81E-01,,708.037,3.42E-03,,1112.79993,9.37E-03,,1429.0,1.08E-02,,,,,1042.05,0.00E+00,,1042.04,3.56E-03
,628.90279,2.50E-02,,373.2733357,0.00E+00,,373.2733357,0.00E+00,,628.06892,0.00E+00,,373.2733357,0.00E+00,,630.8372,2.86E-04,,628.90279,1.84E-02,,373.27334,0.00E+00,,856.58,1.06E-03,,999.91,5.84E-01,,708.191,2.27E-03,,1112.95154,9.27E-03,,1430.0,1.02E-02,,,,,1042.10,0.00E+00,,1042.09,3.48E-03
,629.06303,2.50E-02,,373.4890232,0.00E+00,,373.4890232,0.00E+00,,628.22952,2.61E-04,,373.4890232,0.00E+00,,630.9972,3.20E-04,,629.06303,1.87E-02,,373.48902,0.00E+00,,856.65,1.41E-03,,1000.15,5.88E-01,,708.344,4.91E-03,,1113.10327,9.20E-03,,1431.0,9.42E-03,,,,,1042.15,0.00E+00,,1042.15,3.42E-03
,629.22327,2.61E-02,,373.7047261,0.00E+00,,373.7047261,0.00E+00,,628.39012,1.74E-04,,373.7047261,0.00E+00,,631.15721,2.50E-04,,629.22327,1.76E-02,,373.70473,0.00E+00,,856.72,2.06E-03,,1000.40,5.92E-01,,708.498,2.71E-03,,1113.25501,9.20E-03,,1432.0,1.39E-02,,,,,1042.21,0.00E+00,,1042.20,3.37E-03
,629.38353,2.24E-02,,373.9204445,0.00E+00,,373.9204445,0.00E+00,,628.55073,2.61E-04,,373.9204445,0.00E+00,,631.31723,2.37E-04,,629.38353,1.95E-02,,373.92044,0.00E+00,,856.80,1.24E-03,,1000.64,5.94E-01,,708.652,2.67E-03,,1113.40686,9.29E-03,,1433.0,1.04E-02,,,,,1042.26,0.00E+00,,1042.25,3.34E-03
,629.54379,2.08E-02,,374.1361784,0.00E+00,,374.1361784,0.00E+00,,628.71135,0.00E+00,,374.1361784,0.00E+00,,631.47726,2.73E-04,,629.54379,1.93E-02,,374.13618,0.00E+00,,856.87,1.89E-03,,1000.88,5.97E-01,,708.806,2.92E-03,,1113.55872,9.49E-03,,1434.0,1.09E-02,,,,,1042.31,0.00E+00,,1042.31,3.32E-03
,629.70405,1.63E-02,,374.3519278,0.00E+00,,374.3519278,0.00E+00,,628.87198,2.61E-04,,374.3519278,0.00E+00,,631.63729,2.86E-04,,629.70405,2.03E-02,,374.35193,0.00E+00,,856.94,1.99E-03,,1001.13,6.02E-01,,708.959,2.48E-03,,1113.71057,9.78E-03,,1435.0,9.09E-03,,,,,1042.37,0.00E+00,,1042.36,3.31E-03
,629.86433,2.46E-02,,374.5676926,0.00E+00,,374.5676926,0.00E+00,,629.03261,1.74E-04,,374.5676926,0.00E+00,,631.79734,2.56E-04,,629.86433,1.93E-02,,374.56769,0.00E+00,,857.02,1.87E-03,,1001.37,6.04E-01,,709.113,3.51E-03,,1113.86255,1.01E-02,,1436.0,6.82E-03,,,,,1042.42,0.00E+00,,1042.41,3.30E-03
,630.02461,2.57E-02,,374.7834729,0.00E+00,,374.7834729,0.00E+00,,629.19324,1.30E-03,,374.7834729,0.00E+00,,631.95739,3.02E-04,,630.02461,1.98E-02,,374.78347,0.00E+00,,857.09,2.28E-03,,1001.61,6.07E-01,,709.267,3.72E-03,,1114.01453,1.04E-02,,1437.0,6.76E-03,,,,,1042.47,0.00E+00,,1042.47,3.28E-03
,630.1849,2.29E-02,,374.9992687,0.00E+00,,374.9992687,0.00E+00,,629.35389,0.00E+00,,374.9992687,0.00E+00,,632.11745,1.79E-04,,630.1849,1.96E-02,,374.99927,0.00E+00,,857.16,2.63E-03,,1001.86,6.13E-01,,709.421,3.97E-03,,1114.16650,1.07E-02,,1438.0,3.86E-03,,,,,1042.53,0.00E+00,,1042.52,3.26E-03
,630.34519,1.84E-02,,375.2150799,0.00E+00,,375.2150799,0.00E+00,,629.51453,2.61E-04,,375.2150799,0.00E+00,,632.27752,2.71E-04,,630.34519,2.00E-02,,375.21508,0.00E+00,,857.23,2.47E-03,,1002.10,6.14E-01,,709.576,3.20E-03,,1114.31860,1.09E-02,,1439.0,9.15E-03,,,,,1042.58,0.00E+00,,1042.57,3.24E-03
,630.50549,2.88E-02,,375.4309066,0.00E+00,,375.4309066,0.00E+00,,629.67519,1.74E-04,,375.4309066,0.00E+00,,632.43759,2.95E-04,,630.50549,1.96E-02,,375.43091,0.00E+00,,857.31,2.37E-03,,1002.35,6.18E-01,,709.730,4.14E-03,,1114.47070,1.10E-02,,1440.0,1.30E-02,,,,,1042.63,0.00E+00,,1042.63,3.23E-03
,630.6658,2.31E-02,,375.6467487,0.00E+00,,375.6467487,0.00E+00,,629.83585,0.00E+00,,375.6467487,0.00E+00,,632.59768,2.02E-04,,630.6658,2.00E-02,,375.64675,0.00E+00,,857.38,2.38E-03,,1002.59,6.22E-01,,709.884,5.34E-03,,1114.62280,1.10E-02,,1441.0,5.11E-03,,,,,1042.69,0.00E+00,,1042.68,3.21E-03
,630.82611,2.19E-02,,375.8626063,0.00E+00,,375.8626063,0.00E+00,,629.99652,1.74E-04,,375.8626063,0.00E+00,,632.75777,3.41E-04,,630.82611,1.89E-02,,375.86261,0.00E+00,,857.45,1.91E-03,,1002.83,6.25E-01,,710.038,4.58E-03,,1114.77502,1.10E-02,,1442.0,6.83E-03,,,,,1042.74,0.00E+00,,1042.73,3.21E-03
,630.98644,2.03E-02,,376.0784793,0.00E+00,,376.0784793,0.00E+00,,630.15719,7.83E-04,,376.0784793,0.00E+00,,632.91787,1.58E-04,,630.98644,1.96E-02,,376.07848,0.00E+00,,857.53,1.57E-03,,1003.08,6.32E-01,,710.193,4.30E-03,,1114.92725,1.09E-02,,1443.0,3.88E-03,,,,,1042.79,0.00E+00,,1042.79,3.21E-03
,631.14677,1.86E-02,,376.2943677,0.00E+00,,376.2943677,0.00E+00,,630.31787,1.74E-04,,376.2943677,0.00E+00,,633.07798,3.13E-04,,631.14677,1.88E-02,,376.29437,0.00E+00,,857.60,2.14E-03,,1003.32,6.34E-01,,710.347,2.30E-03,,1115.07947,1.07E-02,,1444.0,8.06E-03,,,,,1042.85,0.00E+00,,1042.84,3.23E-03
,631.3071,2.22E-02,,376.5102716,0.00E+00,,376.5102716,0.00E+00,,630.47855,0.00E+00,,376.5102716,0.00E+00,,633.2381,2.51E-04,,631.3071,2.03E-02,,376.51027,0.00E+00,,857.67,2.24E-03,,1003.57,6.41E-01,,710.502,2.76E-03,,1115.23181,1.05E-02,,1445.0,9.99E-03,,,,,1042.90,0.00E+00,,1042.89,3.26E-03
,631.46744,3.40E-02,,376.726191,0.00E+00,,376.726191,0.00E+00,,630.63925,1.74E-04,,376.726191,0.00E+00,,633.39823,2.08E-04,,631.46744,1.88E-02,,376.72619,0.00E+00,,857.75,2.02E-03,,1003.81,6.49E-01,,710.656,4.06E-03,,1115.38416,1.03E-02,,1446.0,7.56E-03,,,,,1042.95,0.00E+00,,1042.95,3.30E-03
,631.62779,2.58E-02,,376.9421257,0.00E+00,,376.9421257,0.00E+00,,630.79994,0.00E+00,,376.9421257,0.00E+00,,633.55836,3.04E-04,,631.62779,2.00E-02,,376.94213,0.00E+00,,857.82,2.20E-03,,1004.05,6.57E-01,,710.811,3.61E-03,,1115.53650,1.01E-02,,1447.0,7.29E-03,,,,,1043.01,0.00E+00,,1043.00,3.35E-03
,631.78815,3.12E-02,,377.1580759,0.00E+00,,377.1580759,0.00E+00,,630.96065,1.74E-04,,377.1580759,0.00E+00,,633.7185,2.33E-04,,631.78815,1.83E-02,,377.15808,0.00E+00,,857.89,2.34E-03,,1004.30,6.66E-01,,710.966,2.16E-03,,1115.68897,9.78E-03,,1448.0,8.79E-03,,,,,1043.06,0.00E+00,,1043.05,3.40E-03
,631.94851,2.39E-02,,377.3740415,0.00E+00,,377.3740415,0.00E+00,,631.12136,7.83E-04,,377.3740415,0.00E+00,,633.87865,3.05E-04,,631.94851,2.03E-02,,377.37404,0.00E+00,,857.97,1.43E-03,,1004.54,6.67E-01,,711.121,5.69E-03,,1115.84143,9.52E-03,,1449.0,6.46E-03,,,,,1043.11,0.00E+00,,1043.11,3.46E-03
,632.10888,2.86E-02,,377.5900225,0.00E+00,,377.5900225,0.00E+00,,631.28207,6.96E-04,,377.5900225,0.00E+00,,634.03882,2.76E-04,,632.10888,1.80E-02,,377.59002,0.00E+00,,858.04,1.07E-03,,1004.78,6.76E-01,,711.275,3.08E-03,,1115.99390,9.30E-03,,1450.0,7.29E-03,,,,,1043.17,0.00E+00,,1043.16,3.51E-03
,632.26926,2.18E-02,,377.8060189,0.00E+00,,377.8060189,0.00E+00,,631.44279,2.61E-04,,377.8060189,0.00E+00,,634.19898,2.27E-04,,632.26926,1.98E-02,,377.80602,0.00E+00,,858.11,1.64E-03,,1005.03,6.84E-01,,711.430,3.06E-03,,1116.14648,9.13E-03,,1451.0,1.01E-02,,,,,1043.22,0.00E+00,,1043.21,3.57E-03
,632.42964,3.27E-02,,378.0220307,0.00E+00,,378.0220307,0.00E+00,,631.60352,0.00E+00,,378.0220307,0.00E+00,,634.35916,2.91E-04,,632.42964,1.76E-02,,378.02203,0.00E+00,,858.19,1.89E-03,,1005.27,6.87E-01,,711.585,2.97E-03,,1116.29907,9.02E-03,,1452.0,8.78E-03,,,,,1043.27,0.00E+00,,1043.27,3.62E-03
,632.59003,1.66E-02,,378.2380579,0.00E+00,,378.2380579,0.00E+00,,631.76426,2.61E-04,,378.2380579,0.00E+00,,634.51934,2.58E-04,,632.59003,1.98E-02,,378.23806,0.00E+00,,858.26,1.73E-03,,1005.52,6.91E-01,,711.740,2.14E-03,,1116.45166,8.97E-03,,1453.0,5.69E-03,,,,,1043.33,0.00E+00,,1043.32,3.66E-03
,632.75043,2.62E-02,,378.4541006,0.00E+00,,378.4541006,0.00E+00,,631.925,0.00E+00,,378.4541006,0.00E+00,,634.67953,3.39E-04,,632.75043,1.78E-02,,378.4541,0.00E+00,,858.33,1.88E-03,,1005.76,7.05E-01,,711.896,3.01E-03,,1116.60437,8.95E-03,,1454.0,6.17E-03,,,,,1043.38,0.00E+00,,1043.37,3.71E-03
,632.91083,1.94E-02,,378.6701586,0.00E+00,,378.6701586,0.00E+00,,632.08574,2.61E-04,,378.6701586,0.00E+00,,634.83974,1.78E-04,,632.91083,1.87E-02,,378.67016,0.00E+00,,858.41,1.91E-03,,1006.00,7.10E-01,,712.051,2.92E-03,,1116.75708,8.97E-03,,1455.0,8.35E-03,,,,,1043.43,0.00E+00,,1043.43,3.75E-03
,633.07124,3.28E-02,,378.886232,0.00E+00,,378.886232,0.00E+00,,632.24649,0.00E+00,,378.886232,0.00E+00,,634.99995,3.59E-04,,633.07124,1.79E-02,,378.88623,0.00E+00,,858.48,2.10E-03,,1006.25,7.16E-01,,712.206,3.20E-03,,1116.90991,9.02E-03,,1456.0,6.73E-03,,,,,1043.49,0.00E+00,,1043.48,3.78E-03
,633.23166,1.92E-02,,379.1023208,0.00E+00,,379.1023208,0.00E+00,,632.40725,2.61E-04,,379.1023208,0.00E+00,,635.16016,1.62E-04,,633.23166,1.92E-02,,379.10232,0.00E+00,,858.55,2.20E-03,,1006.49,7.27E-01,,712.361,4.43E-03,,1117.06262,9.08E-03,,1457.0,7.73E-03,,,,,1043.54,0.00E+00,,1043.53,3.80E-03
,633.39209,2.76E-02,,379.318425,0.00E+00,,379.318425,0.00E+00,,632.56802,1.74E-04,,379.318425,0.00E+00,,635.32039,3.76E-04,,633.39209,1.88E-02,,379.31842,0.00E+00,,858.63,2.03E-03,,1006.74,7.31E-01,,712.517,3.34E-03,,1117.21558,9.14E-03,,1458.0,6.05E-03,,,,,1043.59,0.00E+00,,1043.59,3.81E-03
